Date,Close
2020/10/8,453
2020/10/7,443
2020/10/6,439.5
2020/10/5,432.5
2020/9/30,433
2020/9/29,431
2020/9/28,431.5
2020/9/25,424
2020/9/24,423
2020/9/23,433.5
2020/9/22,437
2020/9/21,440
2020/9/18,444
2020/9/17,448.5
2020/9/16,458
2020/9/15,445
2020/9/14,441
2020/9/11,436.5
2020/9/10,435
2020/9/9,427
2020/9/8,431
2020/9/7,426
2020/9/4,429
2020/9/3,436
2020/9/2,433
2020/9/1,435
2020/8/31,426.5
2020/8/28,435
2020/8/27,444
2020/8/26,442
2020/8/25,434.5
2020/8/24,428
2020/8/21,424.5
2020/8/20,415
2020/8/19,427.5
2020/8/18,433
2020/8/17,435
2020/8/14,427
2020/8/13,429
2020/8/12,419
2020/8/11,429
2020/8/10,435.5
2020/8/7,433
2020/8/6,435
2020/8/5,429
2020/8/4,425.5
2020/8/3,416
2020/7/31,425.5
2020/7/30,434
2020/7/29,422
2020/7/28,435
2020/7/27,424.5
2020/7/24,386
2020/7/23,381.5
2020/7/22,384
2020/7/21,383
2020/7/20,366
2020/7/17,367
2020/7/16,357.5
2020/7/15,363
2020/7/14,363.5
2020/7/13,354.5
2020/7/10,348.5
2020/7/9,345
2020/7/8,341
2020/7/7,338.5
2020/7/6,338
2020/7/3,329.5
2020/7/2,322
2020/7/1,317.5
2020/6/30,313
2020/6/29,312
2020/6/24,317.5
2020/6/23,315
2020/6/22,312
2020/6/19,314.5
2020/6/18,314.5
2020/6/17,315
2020/6/16,315
2020/6/15,309.5
2020/6/12,316
2020/6/11,320.5
2020/6/10,322.5
2020/6/9,319
2020/6/8,318
2020/6/5,311.5
2020/6/4,306
2020/6/3,301
2020/6/2,296.5
2020/6/1,295.5
2020/5/29,292
2020/5/28,294
2020/5/27,296.5
2020/5/26,295.5
2020/5/25,292
2020/5/22,292
2020/5/21,297.5
2020/5/20,294
2020/5/19,291.5
2020/5/18,290
2020/5/15,298
2020/5/14,293
2020/5/13,297
2020/5/12,295
2020/5/11,301
2020/5/8,297.5
2020/5/7,297.5
2020/5/6,296
2020/5/5,295.5
2020/5/4,295
2020/4/30,304.5
2020/4/29,299
2020/4/28,296.5
2020/4/27,298
2020/4/24,294
2020/4/23,295.5
2020/4/22,294
2020/4/21,295
2020/4/20,304
2020/4/17,306.5
2020/4/16,286.5
2020/4/15,287.5
2020/4/14,285
2020/4/13,278.5
2020/4/10,279.5
2020/4/9,283
2020/4/8,285
2020/4/7,283
2020/4/6,275.5
2020/4/1,271.5
2020/3/31,274
2020/3/30,267.5
2020/3/27,273
2020/3/26,280
2020/3/25,277
2020/3/24,267.5
2020/3/23,255
2020/3/20,270
2020/3/19,248
2020/3/18,260
2020/3/17,268
2020/3/16,276.5
2020/3/13,290
2020/3/12,294
2020/3/11,302
2020/3/10,307
2020/3/9,305.5
2020/3/6,315
2020/3/5,323
2020/3/4,320.5
2020/3/3,317.5
2020/3/2,311
2020/2/27,316
2020/2/26,318.5
2020/2/25,322
2020/2/24,320
2020/2/21,325
2020/2/20,325.5
2020/2/19,326.5
2020/2/18,322
2020/2/17,331.5
2020/2/14,335
2020/2/13,335
2020/2/12,335
2020/2/11,331.5
2020/2/10,327.5
2020/2/7,328
2020/2/6,332.5
2020/2/5,327.5
2020/2/4,325
2020/2/3,315
2020/1/31,320
2020/1/30,316.5
2020/1/20,333
2020/1/17,333
2020/1/16,334.5
2020/1/15,340
2020/1/14,346
2020/1/13,341.5
2020/1/10,339.5
2020/1/9,337.5
2020/1/8,329.5
2020/1/7,329.5
2020/1/6,332
2020/1/3,339.5
2020/1/2,339
2019/12/9,316
2019/12/6,313
2019/12/5,312
2019/12/4,306
2019/12/3,307
2019/12/2,307.5
2019/11/8,305.5
2019/11/7,309
2019/11/6,311
2019/11/5,310.5
2019/11/4,307
2019/11/1,299
2019/10/9,282
2019/10/8,286.5
2019/10/7,278
2019/10/4,276.5
2019/10/3,276.5
2019/10/2,279.5
2019/10/1,280
2019/9/27,272
2019/9/26,268
2019/9/25,266
2019/9/24,265
2019/9/23,264
2019/9/20,264
2019/9/19,265
2019/9/18,267
2019/9/17,265
2019/9/16,265.5
2019/9/12,262.5
2019/9/11,263
2019/9/10,261.5
2019/9/9,265
2019/9/6,263.5
2019/9/5,263
2019/9/4,257.5
2019/9/3,254
2019/9/2,257.5
2019/8/30,259
2019/8/29,254
2019/8/28,252
2019/8/27,250
2019/8/26,248.5
2019/8/23,254
2019/8/22,254
2019/8/21,254.5
2019/8/20,254.5
2019/8/19,252
2019/8/16,250
2019/8/15,248
2019/8/14,249.5
2019/8/13,246.5
2019/8/12,251
2019/8/8,253.5
2019/8/7,248
2019/8/6,248.5
2019/8/5,246.5
2019/8/2,251.5
2019/8/1,256.5
2019/7/31,259.5
2019/7/30,260
2019/7/29,261
2019/7/26,261
2019/7/25,265
2019/7/24,265
2019/7/23,264
2019/7/22,264
2019/7/19,259
2019/7/18,254
2019/7/17,252
2019/7/16,256
2019/7/15,254.5
2019/7/12,250.5
2019/7/11,250
2019/7/10,247
2019/7/9,242
2019/7/8,242.5
2019/7/5,243
2019/7/4,244
2019/7/3,242.5
2019/7/2,249
2019/7/1,248.5
2019/6/28,239
2019/6/27,240.5
2019/6/26,234.5
2019/6/25,238.5
2019/6/24,241
2019/6/21,248.5
2019/6/20,245
2019/6/19,244
2019/6/18,235.5
2019/6/17,233
2019/6/14,236
2019/6/13,240
2019/6/12,246
2019/6/11,244.5
2019/6/10,240
2019/6/6,232
2019/6/5,235
2019/6/4,233
2019/6/3,238
2019/5/31,235.5
2019/5/30,231
2019/5/29,229.5
2019/5/28,230.5
2019/5/27,231
2019/5/24,233
2019/5/23,230
2019/5/22,238
2019/5/21,234
2019/5/20,238
2019/5/17,241.5
2019/5/16,247
2019/5/15,249
2019/5/14,248.5
2019/5/13,250.5
2019/5/10,256
2019/5/9,256.5
2019/5/8,260
2019/5/7,262.5
2019/5/6,259
2019/5/3,265
2019/5/2,259
2019/4/30,259
2019/4/29,259.5
2019/4/26,260
2019/4/25,267.5
2019/4/24,269
2019/4/23,268
2019/4/22,266
2019/4/19,264.5
2019/4/18,264.5
2019/4/17,261.5
2019/4/16,257
2019/4/15,255.5
2019/4/12,252
2019/4/11,252
2019/4/10,254
2019/4/9,254
2019/4/8,253
2019/4/3,246.5
2019/4/2,246
2019/4/1,245.5
2019/3/29,245.5
2019/3/28,242
2019/3/27,241.5
2019/3/26,244
2019/3/25,241.5
2019/3/22,248.5
2019/3/21,245.5
2019/3/20,242
2019/3/19,240.5
2019/3/18,241
2019/3/15,239
2019/3/14,234.5
2019/3/13,237
2019/3/12,235.5
2019/3/11,230.5
2019/3/8,230
2019/3/7,234
2019/3/6,234
2019/3/5,233
2019/3/4,235.5
2019/2/27,239
2019/2/26,239.5
2019/2/25,238
2019/2/22,236.5
2019/2/21,236.5
2019/2/20,234.5
2019/2/19,229
2019/2/18,230
2019/2/15,227
2019/2/14,227
2019/2/13,229
2019/2/12,230
2019/2/11,228
2019/1/30,221
2019/1/29,222.5
2019/1/28,229
2019/1/25,226
2019/1/24,222.5
2019/1/23,220.5
2019/1/22,223
2019/1/21,221
2019/1/18,218.5
2019/1/17,220.5
2019/1/16,217.5
2019/1/15,221
2019/1/14,218.5
2019/1/11,220.5
2019/1/10,216
2019/1/9,215.5
2019/1/8,211
2019/1/7,213
2019/1/4,208
2019/1/3,215.5
2019/1/2,219.5